Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
Deposit from GARMIN INTL. INC PAYROLL,5/14/2026,Credit,1375,2411.21
Debit Card Purchase - NETFLIX COM LOS GATOS CA,5/13/2026,Debit,26.99,1036.21
Withdrawal from HONDA PMT 8004489307,5/13/2026,Debit,423.54,1063.2
Withdrawal from EVERGY KS CTRL AUTOPAY,5/13/2026,Debit,143,1486.74
Withdrawal from ATT PAYMENT,5/12/2026,Debit,65.33,1629.74
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,5/9/2026,Debit,20.7,1695.07
Withdrawal from DEPT EDUCATION STUDENT LN,5/5/2026,Debit,300,1715.77
Over funded loan 5-1-26 - Preauthorized Withdrawal to SECURITY BANK OF KANSAS CITY checking account XXXXXXXX8444,5/4/2026,Debit,150,2015.77
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,5/2/2026,Debit,20.7,2165.77
Debit Card Purchase - SPOTIFY NEW YORK NY,5/1/2026,Debit,18.99,2186.47
Debit Card Purchase - ABC 20283 CRUNCH FITNE 913 732 1099 KS,5/1/2026,Debit,34.83,2205.46
Withdrawal from BH LIFE RENT BH LIFE RE,5/1/2026,Debit,2272.66,2240.29
Monthly Interest Paid,4/30/2026,Credit,0.16,4512.95
Deposit from GARMIN INTL. INC PAYROLL,4/30/2026,Credit,1375,4512.79
Cha-Ching! New account bonus,4/29/2026,Credit,300,3137.79
Deposit from FARMERS BANK & T PAYROLL,4/28/2026,Credit,1185,2837.79
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,4/25/2026,Debit,20.7,1652.79
Withdrawal from STILLWATER INS INS PREM,4/24/2026,Debit,283.66,1673.49
Withdrawal from ATT PAYMENT,4/20/2026,Debit,130.46,1957.15
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,4/18/2026,Debit,20.7,2087.61
Deposit from GARMIN INTL. INC PAYROLL,4/16/2026,Credit,1375,2108.31
Withdrawal from HONDA PMT 8004489307,4/14/2026,Debit,423.54,733.31
Withdrawal from EVERGY KS CTRL AUTOPAY,4/14/2026,Debit,143,1156.85
Debit Card Purchase - NETFLIX COM LOS GATOS CA,4/13/2026,Debit,24.99,1299.85
Withdrawal from ATT PAYMENT,4/13/2026,Debit,65.33,1324.84
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,4/11/2026,Debit,20.7,1390.17
Labor day trip - Bailey - Preauthorized Withdrawal to FIRST INTERSTATE BANK checking account XXXX5628,4/9/2026,Debit,273,1410.87
Withdrawal from DEPT EDUCATION STUDENT LN,4/6/2026,Debit,300,1683.87
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,4/4/2026,Debit,20.7,1983.87
Deposit from GARMIN INTL. INC PAYROLL,4/2/2026,Credit,1375,2004.57
Withdrawal from BH LIFE RENT BH LIFE RE,4/2/2026,Debit,2160,629.57
Debit Card Purchase - SPOTIFY NEW YORK NY,4/1/2026,Debit,18.99,2789.57
Withdrawal from BH LIFE RENT BH LIFE RE,4/1/2026,Debit,163.36,2808.56
Monthly Interest Paid,3/31/2026,Credit,0.17,2971.92
Debit Card Purchase - ABC 20283 CRUNCH FITNE 913 732 1099 KS,3/31/2026,Debit,34.83,2971.75
Deposit from FARMERS BANK & T PAYROLL,3/29/2026,Credit,1185,3006.58
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,3/28/2026,Debit,20.7,1821.58
Withdrawal from STILLWATER INS INS PREM,3/24/2026,Debit,283.66,1842.28
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,3/21/2026,Debit,20.7,2125.94
Deposit from GARMIN INTL. INC PAYROLL,3/19/2026,Credit,1375,2146.64
Withdrawal from ATT PAYMENT,3/18/2026,Debit,127.24,771.64
Withdrawal from ATT PAYMENT,3/16/2026,Debit,63.16,898.88
Withdrawal from EVERGY KS CTRL AUTOPAY,3/16/2026,Debit,143,962.04
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,3/14/2026,Debit,20.7,1105.04
Debit Card Purchase - SPOTIFY P404728AF8 8777781161 NY,3/13/2026,Debit,18.99,1125.74
Withdrawal from AZURA CU ACCTVERIFY,3/13/2026,Debit,0.64,1144.73
Deposit from AZURA CU ACCTVERIFY XXXX06,3/13/2026,Credit,0.42,1145.37
Deposit from AZURA CU ACCTVERIFY XXXX06,3/13/2026,Credit,0.22,1144.95
Withdrawal from HONDA PMT 8004489307,3/13/2026,Debit,423.54,1144.73
Debit Card Purchase - NETFLIX COM NETFLIX COM CA,3/12/2026,Debit,24.99,1568.27
Preauthorized Withdrawal to FIRST INTERSTATE BANK checking account XXXX5628,3/12/2026,Debit,1000,1593.26
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,3/7/2026,Debit,20.7,2593.26
Deposit from GARMIN INTL. INC PAYROLL,3/5/2026,Credit,1375,2613.96
Withdrawal from DEPT EDUCATION STUDENT LN,3/4/2026,Debit,300,1238.96
Withdrawal from BH LIFE RENT BH LIFE RE,3/2/2026,Debit,2278.08,1538.96
Monthly Interest Paid,2/28/2026,Credit,0.1,3817.04
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,2/28/2026,Debit,20.7,3816.94
Deposit from FARMERS BANK & T PAYROLL,2/25/2026,Credit,1185,3837.64
Withdrawal from STILLWATER INS INS PREM,2/24/2026,Debit,283.66,2652.64
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,2/21/2026,Debit,20.7,2936.3
Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,2/20/2026,Debit,20.7,2957
ROKC extra payment - Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,2/20/2026,Credit,20.7,2977.7
Deposit from GARMIN INTL. INC PAYROLL,2/19/2026,Credit,1320,2957
Prenote AH0219EI.001^ATT^PAYMENT^021526,2/19/2026,Debit,0,1637
Prenote AH0219EI.001^ATT^PAYMENT^021526,2/19/2026,Debit,0,1637
ROKC membership - Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,2/18/2026,Credit,42,1637
Prenote AH0217FI.001^ATT^PAYMENT^021026,2/17/2026,Debit,0,1595
Prenote AH0217FI.001^ATT^PAYMENT^021026,2/17/2026,Debit,0,1595
